BUSINESS_NAME,OFFICE_ADDRESS1,OFFICE_ADDRESS2,OFFICE_CITY,OFFICE_STATE,OFFICE_ZIPCODE,OFFICE_TELEPHONE,OFFICE_WEBSITE,ADVISOR_NAME,ADVISOR_EMAIL,ADVISOR_ID
"ABD RETIREMENT SERVICES, INC.",450 SANSOME STREET,SUITE 300,SAN FRANCISCO,CA,94111,4154837765,THEABDTEAM.COM,Calvin Mayo,Calvin.Mayo@THEABDTEAM.COM,167641
GLOBAL CAPITAL GROUP,40 WALL STREET (TIGRESS/GC),SUITE 3004,NEW YORK,NY,10005,9176642264,WWW.GCGROUPCAPITAL.COM,Curtis Winders,Curtis.Winders@GCGROUPCAPITAL.COM,289896
WINSLOW ASSET MANAGEMENT INC,3333 RICHMOND RD #180,,BEACHWOOD,OH,44122,2163604700,WWW.WINSLOWASSET.COM,Joe Bisanar,Joe.Bisanar@WINSLOWASSET.COM,106337
"MIDATLANTIC CAPITAL MANAGEMENT, INC.",11448 ROBIOUS ROAD,,RICHMOND,VA,23235,8042729200,MIDATLANTIC-CAPITAL.COM,Rodriguez Escamilla,Rodriguez.Escamilla@MIDATLANTIC-CAPITAL.COM,116524
KNIGHTSBRIDGE ASSET MANAGEMENT LLC,500 NEWPORT CENTER DR,SUITE 680,NEWPORT BEACH,CA,92660,9496444444,WWW.KNIGHTSB.COM,Luis Deleza,Luis.Deleza@KNIGHTSB.COM,110347
"MEMBERS ADVISORY GROUP, LLC",6750 MAIN STREET,,WILLIAMSVILLE,NY,14221,7166324050,MEMBERSADVGRP.COM/,Ramon Cervera,Ramon.Cervera@MEMBERSADVGRP.COM/,153723
THE CAPITAL MANAGEMENT CORPORATION,4101 COX ROAD,SUITE 110,GLEN ALLEN,VA,23060,8042704000,WWW.CMCVA.COM,Kirk Jennings,Kirk.Jennings@CMCVA.COM,112242
SAXON WOODS ADVISORS LLC,2500 WESTCHESTER AVENUE,SUITE 215,PURCHASE,NY,10577,9142510880,WWW.SAXONWOODS.COM,Jesus Andrade,Jesus.Andrade@SAXONWOODS.COM,109686
CYPRESS ASSET MANAGEMENT INC,4545 POST OAK PLACE DRIVE,SUITE 205,HOUSTON,TX,77027,7135122100,WWW.CYPRESSASSET.COM,Rufus Marshall,Rufus.Marshall@CYPRESSASSET.COM,106593
"CAPRIN ASSET MANAGEMENT, LLC",1802 BAYBERRY COURT,SUITE 202,HENRICO,VA,23226,8046483333,WWW.CAPRINBONDS.COM,Arturo Hernandez,Arturo.Hernandez@CAPRINBONDS.COM,106657
"CHICKASAW CAPITAL MANAGEMENT, LLC",6075 POPLAR AVE SUITE 720,,MEMPHIS,TN,38119,9015371866,WWW.CHICKASAWCAP.COM,Paz De Leon,Paz.De Leon@CHICKASAWCAP.COM,127398
NEW YORK LIFE INVESTMENT MANAGEMENT LLC,51 MADISON AVENUE,,NEW YORK,NY,10010,2125767000,WWW.MAINSTAYFUNDS.COM,Robert Mejia,Robert.Mejia@MAINSTAYFUNDS.COM,109591
"PENN CAPITAL MANAGEMENT COMPANY, INC.",1200 INTREPID AVENUE,SUITE 400,PHILADELPHIA,PA,19112,2153021500,WWW.PENNCAPITAL.COM,Jereld Green,Jereld.Green@PENNCAPITAL.COM,105081
KARPUS INVESTMENT MANAGEMENT,183 SULLY'S TRAIL,,PITTSFORD,NY,14534,5855864680,WWW.KARPUS.COM,Roland Jacobs,Roland.Jacobs@KARPUS.COM,110275
"STRINGER ASSET MANAGEMENT, LLC",5050 POPLAR AVENUE,SUITE 1103,MEMPHIS,TN,38157,9018002956,WWW.STRINGERAM.COM,Carl Jones,Carl.Jones@STRINGERAM.COM,166133
VOYA INVESTMENT MANAGEMENT CO. LLC,230 PARK AVENUE,,NEW YORK,NY,10169,2123098200,WWW.VOYAINVESTMENTS.COM,Abraham Gonzalez,Abraham.Gonzalez@VOYAINVESTMENTS.COM,106494
GLOBAL RETIREMENT PARTNERS LLC,4340 REDWOOD HIGHWAY,SUITE B-60,SAN RAFAEL,CA,94903,4155262751,WWW.GRPFINANCIAL.COM,Rogelio Adame Frias,Rogelio Adame.Frias@GRPFINANCIAL.COM,172011
"WELLS FARGO FUNDS MANAGEMENT, LLC",ONE FRONT STREET,,SAN FRANCISCO,CA,94111,4153966122,WWW.WELLSFARGOFUNDS.COM,Juan Medina,Juan.Medina@WELLSFARGOFUNDS.COM,110841
WELLS CAPITAL MANAGEMENT INC,525 MARKET ST,10TH FLOOR,SAN FRANCISCO,CA,94105,4153968000,WWW.WELLSCAP.COM/,Vicente Medina,Vicente.Medina@WELLSCAP.COM/,104973
EAGLE ASSET MANAGEMENT INC,880 CARILLON PKWY,,ST. PETERSBURG,FL,33716,7275732453,WWW.LINKENIN.COM/COMPANY/22306437/,Pablo Chavez,Pablo.Chavez@LINKENIN.COM/COMPANY/22306437/,110653
CAMDEN PRIVATE CAPITAL,500 EAST PRATT STREET,SUITE 1200,BALTIMORE,MD,21202,4108786800,WWW.CAMDENPARTNERS.COM/,Braulio Trujillo,Braulio.Trujillo@CAMDENPARTNERS.COM/,117010
ASHMORE EQUITIES INVESTMENT MANAGEMENT (US) LLC,475 FIFTH AVENUE,15TH FLOOR,NEW YORK,NY,10017,2126610061,WWW.ASHMOREGROUP.COM,Kevin Compton,Kevin.Compton@ASHMOREGROUP.COM,104776
ABINGWORTH MANAGEMENT INC.,3000 SAND HILL ROAD,B1-145,MENLO PARK,CA,94025,6509260600,WWW.ABINGWORTH.COM,L Washington,L.Washington@ABINGWORTH.COM,157466
"ESB WEALTH MANAGEMENT, LLC",111 PARK AVENUE EAST,,MANSFIELD,OH,44902,4195253961,WWW.ESBWEALTH.COM/,Pablo Guzman,Pablo.Guzman@ESBWEALTH.COM/,281835
MH & ASSOCIATES SECURITIES MANAGEMENT CORPORATION,2888 LOKER AVENUE EAST,SUITE 318,CARLSBAD,CA,92010,6264409694,WWW.MHINVESTMENTS.NET,Paul Thursam,Paul.Thursam@MHINVESTMENTS.NET,110516
USAA INVESTMENT MANAGEMENT COMPANY,9800 FREDERICKSBURG ROAD,,SAN ANTONIO,TX,78288-0227,800531USAA,WWW.ADVISORUSAA.COM,Jesus Pedraza Jr,Jesus.Pedraza Jr@ADVISORUSAA.COM,5475
"TRANSAMERICA FINANCIAL ADVISORS, INC.",570 CARILLON PARKWAY,,ST PETERSBURG,FL,33716-1202,7272991800,WWW.TFACONNECT.COM,Elias Adame,Elias.Adame@TFACONNECT.COM,16164
SYMONS CAPITAL MANAGEMENT INC,650 WASHINGTON ROAD,SUITE 800,PITTSBURGH,PA,15228-2702,4123447690,SYMONSCAPITAL.COM,Eric Gillaspia,Eric.Gillaspia@SYMONSCAPITAL.COM,104817
"STRATEGIC INVESTMENT MANAGEMENT, LLC","1001 19TH ST. N.,16TH FL.",,ARLINGTON,VA,22209-1722,7032434433,WWW.STRATEGICGROUP.COM,Garon Dixon,Garon.Dixon@STRATEGICGROUP.COM,104862
INCOME RESEARCH + MANAGEMENT,100 FEDERAL STREET,30TH FLOOR,BOSTON,MA,02110-1884,6173309333,WWW.INCOMERESEARCH.COM/,Federico Espitia,Federico.Espitia@INCOMERESEARCH.COM/,104863
GAMCO ASSET MANAGEMENT INC.,ONE CORPORATE CENTER,,RYE,NY,10580-1422,9149215000,WWW.GABELLI.COM,Felipe Salazar,Felipe.Salazar@GABELLI.COM,104950
PERKINS CAPITAL MANAGEMENT INC,730 LAKE STREET EAST,,WAYZATA,MN,55391-1769,9524738367,WWW.PERKINSCAPITAL.COM,Santiago Santana,Santiago.Santana@PERKINSCAPITAL.COM,105028
BROADLAKE FINANCIAL MANAGEMENT,99 SWIFT STREET,SUITE 305,SOUTH BURLINGTON,VT,05403-7360,8028634463,ELEYFINANCIALMANAGEMENT.COM,Jose Jandres,Jose.Jandres@ELEYFINANCIALMANAGEMENT.COM,105057
DRIEHAUS CAPITAL MANAGEMENT LLC,25 EAST ERIE STREET,,CHICAGO,IL,60611-2703,3125873800,WWW.DRIEHAUS.COM,Lloyd Jones,Lloyd.Jones@DRIEHAUS.COM,105757
SPECTRUM CAPITAL MANAGEMENT,13620 LINCOLN WAY,SUITE 290,AUBURN,CA,95603-3264,5308889000,WWW.SPECTRUMCAP.NET,Miguel Aldape,Miguel.Aldape@SPECTRUMCAP.NET,105830
OPTIMA ASSET MANAGEMENT INC,12222 MERIT DRIVE,SUITE 1700,DALLAS,TX,75251-2265,9727260400,WWW.OPTIMAASSETMGT.COM,Hector Saenz,Hector.Saenz@OPTIMAASSETMGT.COM,106095
ATLAS CAPITAL MANAGEMENT CORP,11130 COLDWATER ROAD,SUITE 104,FT WAYNE,IN,46845-1270,2606372857,WWW.ATLASCAPITALMANAGEMENT.COM,Victor Mendez,Victor.Mendez@ATLASCAPITALMANAGEMENT.COM,106107
SENTRY MANAGEMENT INC,5 EUREKA CIRCLE,SUITE E,WICHITA FALLS,TX,76308-2900,9406962100,WWW.SENTRYMANAGEMENT.COM,Roberto Delao,Roberto.Delao@SENTRYMANAGEMENT.COM,107379
CUTLER CAPITAL MANAGEMENT,306 MAIN ST 2ND FL,,WORCESTER,MA,01608-1518,5087574455,WWW.CUTLERCAPITAL.COM,Jose De Jesus Martinez,Jose De Jesus.Martinez@CUTLERCAPITAL.COM,107463
"GOODWIN CAPITAL ADVISERS, INC.",ONE FINANCIAL PLAZA,755 MAIN STREET,HARTFORD,CT,06103-2608,8602992000,WWW.CONNING.COM,David Daniel,David.Daniel@CONNING.COM,108290
RIVERPLACE CAPITAL MANAGEMENT INC,1301 RIVERPLACE BLVD,SUITE 2130,JACKSONVILLE,FL,32207-9032,9043463460,WWW.RIVERPLACECAPITAL.COM/,Victor Valdez,Victor.Valdez@RIVERPLACECAPITAL.COM/,109079
"NEW GENERATION ADVISORS, LLC",13 ELM STREET,SUITE 2,MANCHESTER,MA,01944-1366,9787046200,WWW.NEWGENERATIONADVISORS.COM,Robert Lyon,Robert.Lyon@NEWGENERATIONADVISORS.COM,109776
CHELSEA MANAGEMENT COMPANY,444 SOUTH FLOWER ST,SUITE 2340,LOS ANGELES,CA,90071-2924,2133629200,WWW.CHELSEAMANAGEMENT.COM,Christopher Carson,Christopher.Carson@CHELSEAMANAGEMENT.COM,110399
"DAVIDSON INVESTMENT ADVISORS, INC.",8 THIRD STREET NORTH,,GREAT FALLS,MT,59401-3104,4067276111,WWW.DADCO.COM,Keisha Fowler,Keisha.Fowler@DADCO.COM,110552
"BARON CAPITAL MANAGEMENT, INC.",767 FIFTH AVENUE,49TH FLOOR,NEW YORK,NY,10153-0023,2125832000,WWW.BARONFUNDS.COM,Brandle Fowler,Brandle.Fowler@BARONFUNDS.COM,110791
"KORNITZER CAPITAL MANAGEMENT, INC.",5420 WEST 61ST PLACE,,SHAWNEE MISSION,KS,66205-3084,9136777778,WWW.KORNITZERCAPITALMANAGEMENT.COM,Wendell White,Wendell.White@KORNITZERCAPITALMANAGEMENT.COM,111087
CASTLEKEEP INVESTMENT ADVISORS,257 RIVERSIDE AVENUE,2ND FLOOR,WESTPORT,CT,06880-4822,2036827200,WWW.CASTLEKEEPADVISORS.COM,Carlos Pleitez,Carlos.Pleitez@CASTLEKEEPADVISORS.COM,111656
"REGIONS INVESTMENT MANAGEMENT, INC.",1900 5TH AVENUE NORTH,SIXTH FLOOR,BIRMINGHAM,AL,35203-2618,2052647074,WWW.REGIONS.COM,Eusebio Molina,Eusebio.Molina@REGIONS.COM,111715
"BERSON & CORRADO INVESTMENT ADVISORS, LLC",48 SOUTH FRANKLIN TURNPIKE,SUITE 300,RAMSEY,NJ,07446-2558,2016616600,WWW.BERSONANDCORRADO.COM,Carl Dunn,Carl.Dunn@BERSONANDCORRADO.COM,111721
"J.P. KING ADVISORS, INC.",1600 SOUTH MAIN STREET,SUITE 275,WALNUT CREEK,CA,94596-8810,9259351555,WWW.JPKINGADVISORS.COM,Martin Macias,Martin.Macias@JPKINGADVISORS.COM,112109
"DELTA ASSET MANAGEMENT, LLC",5350 POPLAR AVE,SUITE 875,MEMPHIS,TN,38119-0608,9017674791,WWW.DELTAASSET.COM,Juan Carrizales,Juan.Carrizales@DELTAASSET.COM,113688
"DECATUR CAPITAL MANAGEMENT, INC.",150 EAST PONCE DE LEON AVENUE,SUITE 430,DECATUR,GA,30030-2547,4042709838,WWW.DECATURCAPITAL.COM,Raul Armendariz,Raul.Armendariz@DECATURCAPITAL.COM,120679
"CWC ADVISORS, LLC",5800 MEADOWS ROAD,SUITE 230,LAKE OSWEGO,OR,97035-8899,5039680950,WWW.CWCADVISORS.COM,Antonio Melendez,Antonio.Melendez@CWCADVISORS.COM,127739
"MULLER & MONROE ASSET MANAGEMENT,LLC",180 N. STETSON AVENUE,SUITE 1320,CHICAGO,IL,60601-6820,3127827771,WWW.M2AM.COM/,Armando Jimenez,Armando.Jimenez@M2AM.COM/,132073
UNFCU ADVISORS LLC,24-01 44TH ROAD,,LONG ISLAND CITY,NY,11101-4605,2123243900,WWW.UNFCUADVISORS.COM,Jose Ramirez,Jose.Ramirez@UNFCUADVISORS.COM,136572
VAN ECK ABSOLUTE RETURN ADVISERS CORP.,666 THIRD AVENUE,9TH FLOOR,NEW YORK,NY,10017-4033,2122932000,WWW.VANECK.COM,Martin Heredia,Martin.Heredia@VANECK.COM,137177
NEWPORT GLOBAL ADVISORS L.P.,21 WATERWAY AVENUE,SUITE 150,THE WOODLANDS,TX,77380-3098,7135597400,WWW.NEWPORTGLOBALADVISORS.COM,Jose Vela,Jose.Vela@NEWPORTGLOBALADVISORS.COM,139368
BHK INVESTMENT ADVISORS,2200 LAKESHORE DRIVE,SUITE 250,BIRMINGHAM,AL,35209-8803,2053222025,WWW.BHKLLC.COM/,Larry Pectol,Larry.Pectol@BHKLLC.COM/,140515
VOLEON CAPITAL MANAGEMENT LP,2150 DWIGHT WAY,,BERKELEY,CA,94704-2015,5107049870,WWW.VOLEON.COM,Jose Islas,Jose.Islas@VOLEON.COM,147443
"LENDINGCLUB ASSET MANAGEMENT, LLC",71 STEVENSON ST,SUITE 1000,SAN FRANCISCO,CA,94105-2985,4156325600,WWW.LCAM.COM,Jose Hernandez,Jose.Hernandez@LCAM.COM,155460
"GLOBAL ENDOWMENT MANAGEMENT, LP",550 SOUTH TRYON STREET,SUITE 3500,CHARLOTTE,NC,28202-4017,7043338282,WWW.GLOBALENDOWMENT.COM/,Carlos De Anda Jasso,Carlos.De Anda Jasso@GLOBALENDOWMENT.COM/,157772
"RADNOR CAPITAL MANAGEMENT, LLC",123 WEST  WAYNE AVENUE,,WAYNE,PA,19087-4306,6106740401,WWW.RADNORCM.COM,Manuel Canas,Manuel.Canas@RADNORCM.COM,159559
"LEM CAPITAL, L.P.",2929 ARCH STREET,28TH FLOOR,PHILADELPHIA,PA,19104-2868,2155579600,WWW.LEMCAPITAL.COM,Damian Rodriguez,Damian.Rodriguez@LEMCAPITAL.COM,159817
"DELEGATE ADVISORS, LLC",1335 ENVIRON WAY,,CHAPEL HILL,NC,27517-8834,9199328400,DELEGATEADVISORS.COM/,Horace Bay,Horace.Bay@DELEGATEADVISORS.COM/,159953
"AKANTHOS CAPITAL MANAGEMENT, LLC",21700 OXNARD STREET,SUITE 1730,WOODLAND HILLS,CA,91367-7584,8188838270,WWW.AKANTHOSCAPITAL.COM,Guillermo Bahena,Guillermo.Bahena@AKANTHOSCAPITAL.COM,159965
"SIGNATURE INVESTMENT ADVISORS, LLC",2121 AVENUE OF THE STARS,SUITE 1600,LOS ANGELES,CA,90067-5040,3107122323,WWW.SIGNATUREIA.COM,Roger Perez,Roger.Perez@SIGNATUREIA.COM,160715
"OFI GLOBAL ASSET MANAGEMENT, INC.","225 LIBERTY STREET, 11TH FLOOR",,NEW YORK,NY,10281-1008,2123230200,WWW.OPPENHEIMERFUNDS.COM,Mike Diaz,Mike.Diaz@OPPENHEIMERFUNDS.COM,161556
"ROSE PARK ADVISORS, LLC",200 STATE STREET,,BOSTON,MA,02109-6175,6178499239,WWW.ROSEPARKADVISORS.COM,Danny Kendrick,Danny.Kendrick@ROSEPARKADVISORS.COM,162017
"STONE HILL FIDUCIARY MANAGEMENT, LLC",1010 NORTHERN BOULEVARD,SUITE 308,GREAT NECK,NY,11021-5317,5164395581,STONEHILLFIDUCIARY.COM,Darrell Wright,Darrell.Wright@STONEHILLFIDUCIARY.COM,164981
TAYLOR WEALTH MANAGEMENT PARTNERS,50 FEDERAL STREET,,BOSTON,MA,02110-1285,6173574600,WWW.TAYLORWEALTHPARTNERS.COM,Kelvin Prevost,Kelvin.Prevost@TAYLORWEALTHPARTNERS.COM,170457
ANTARES CAPITAL ADVISERS LLC,500 WEST MONROE,17TH FLOOR,CHICAGO,IL,60661-3757,3128899920,WWW.ANTARES.COM,Juvel Masters Jr,Juvel.Masters Jr@ANTARES.COM,281998
"RONDURE GLOBAL ADVISORS, LLC",136 S. MAIN STREET,SUITE 720,SALT LAKE CITY,UT,84101-1623,8017368550,WWW.RONDUREGLOBAL.COM,Juan Segovia Jr,Juan.Segovia Jr@RONDUREGLOBAL.COM,286313
"MAIN MANAGEMENT ETF ADVISORS, LLC",601 CALIFORNIA STREET,SUITE 620,SAN FRANCISCO,CA,94108-2811,4152175800,WWW.MAINMGTETFS.COM/,Ovidio Lozano,Ovidio.Lozano@MAINMGTETFS.COM/,288558
"QU CAPITAL MANAGEMENT, LLC",875 THIRD AVENUE,SUITE 15-55,NEW YORK,NY,10022-6225,2122033894,QU.CAPITAL,Luis Luna,Luis.Luna@QU.CAPITAL,291829
"NEW WAVE CAPITAL, LLC",201 SPEAR STREET,SUITE 1100,SAN FRANCISCO,CA,94105-6164,4157613671,WWW.NEWWAVECAPITAL.COM,Guillermo Molina,Guillermo.Molina@NEWWAVECAPITAL.COM,296975
BERUNDA CAPITAL MANAGEMENT,5 INDEPENDENCE WAY,SUITE 300,PRINCETON,NJ,08540-6627,6095145145,WWW.BERUNDACAP.COM,Robert Hatley,Robert.Hatley@BERUNDACAP.COM,297072
WEDGE CAPITAL MANAGEMENT LLP,301 SOUTH COLLEGE STREET,#3800,CHARLOTTE,NC,28202-6002,7043346475,WWW.WEDGECAPITAL.COM/,Roberto Guajardo,Roberto.Guajardo@WEDGECAPITAL.COM/,106234
"CAPITAL RESOURCE MANAGEMENT,INC.",770 LAKE COOK RD,SUITE 370,DEERFIELD,IL,60015-4920,8479481700,WWW.CRMINVEST.COM,Antonio Villarreal,Antonio.Villarreal@CRMINVEST.COM,106768
"ARLINGTON CAPITAL MANAGEMENT, INC.",21 S. EVERGREEN AVENUE,SUITE 210,ARLINGTON HEIGHTS,IL,60005-7800,8476704030,WWW.ARLINGTON-CAPITAL.COM,Richard Garcia,Richard.Garcia@ARLINGTON-CAPITAL.COM,114801
SOLARIS ASSET MANAGEMENT,645 MADISON AVENUE,,NEW YORK,NY,10022-1003,2125824500,WWW.SOLARISGROUPLLC.COM,Michael Garcia,Michael.Garcia@SOLARISGROUPLLC.COM,129650
CALAMOS ADVISORS LLC,2020 CALAMOS COURT,,NAPERVILLE,IL,60563-2787,6302457200,WWW.CALAMOS.COM,Shawn Robinson,Shawn.Robinson@CALAMOS.COM,105758
OVERBROOK MANAGEMENT CORPORATION,122 EAST 42ND STREET,SUITE 2500,NEW YORK,NY,10168-2500,2126618710,WWW.OVERBROOK.COM/,Gregory Oliver,Gregory.Oliver@OVERBROOK.COM/,117884
MERRITT CAPITAL INVESTMENT ADVISORS LLC,23 OLD KINGS HIGHWAY SOUTH,,DARIEN,CT,06820-4505,2036562677,WWW.MERRITTCAPLP.COM,Willie Duron,Willie.Duron@MERRITTCAPLP.COM,137877
BROOKFIELD INVESTMENT MANAGEMENT INC.,BROOKFIELD PLACE,"250 VESEY STREET, 15TH FLOOR",NEW YORK,NY,10281-1023,2125498400,WWW.BROOKFIELD.COM/EN/FUND-INVESTORS/PUBLIC-SECURITIES,Roberto Covarrubias,Roberto.Covarrubias@BROOKFIELD.COM/EN/FUND-INVESTORS/PUBLIC-SECURITIES,110497
"AMUNDI PIONEER INSTITUTIONAL ASSET MANAGEMENT, INC.",60 STATE STREET,,BOSTON,MA,02109-1820,6174224700,WWW.AMUNDIPIONEER.COM,Jose Rodriguez,Jose.Rodriguez@AMUNDIPIONEER.COM,138756
BLUM CAPITAL PARTNERS LP,909 MONTGOMERY STREET,SUITE 400,SAN FRANCISCO,CA,94133-4652,4154341111,WWW.BLUMCAPITAL.COM,Jose Cordova,Jose.Cordova@BLUMCAPITAL.COM,106226
"CMG CAPITAL MANAGEMENT GROUP, INC.",1000 CONTINENTAL DR,SUITE 570,KING OF PRUSSIA,PA,19406-2848,6109899090,WWW.CMGARSFUNDS.NET,Wesley Gammons,Wesley.Gammons@CMGARSFUNDS.NET,110750
"WATER ISLAND CAPITAL, LLC",41 MADISON AVENUE,42ND FLOOR,NEW YORK,NY,10010-2202,8005608210,WWW.WATERISLANDCAPITAL.COM,Ramiro De La Rosa,Ramiro.De La Rosa@WATERISLANDCAPITAL.COM,113358
SISUNG INVESTMENT MANAGEMENT SERVICES LLC,201 ST. CHARLES AVENUE,SUITE 4240,NEW ORLEANS,LA,70170-1048,5045447700,WWW.SISUNGINVESTMENTS.COM,Eric Estrada,Eric.Estrada@SISUNGINVESTMENTS.COM,107318
"RIDGEMONT PARTNERS MANAGEMENT, LLC",150 NORTH COLLEGE STREET,SUITE 2500,CHARLOTTE,NC,28202-2398,7049440914,RIDGEMONTPE.COM,Louis Derouen,Louis.Derouen@RIDGEMONTPE.COM,157421
DANA INVESTMENT ADVISORS INC,"20700 SWENSON DRIVE, SUITE 400",,WAUKESHA,WI,53186-0904,2627823631,WWW.DANAINVESTMENT.COM/,Jose Garcia,Jose.Garcia@DANAINVESTMENT.COM/,105879
ACCOLADE ASSET/LIABILITY ADVISORY SERVICES,8700 ORION PLACE,SUITE 100,COLUMBUS,OH,43240-2078,6148162694,WWW.ACCOLADEADVISORY.COM,Jose Joya,Jose.Joya@ACCOLADEADVISORY.COM,145635
"WEBSTERROGERS FINANCIAL ADVISORS, LLC",1411 SECOND LOOP ROAD,,FLORENCE,SC,29505-2801,8436656321,WWW.WRFASC.COM,Antonio Barron,Antonio.Barron@WRFASC.COM,121006
"NORTHERN TRUST SECURITIES, INC",50 S. LASALLE,,CHICAGO,IL,60603-0001,3125572000,WWW.NORTHERNTRUST.COM,James Henderson,James.Henderson@NORTHERNTRUST.COM,7927
INTERNATIONAL RESEARCH & ASSET MANAGEMENT INC,2301 CEDAR SPRINGS STE 150,,DALLAS,TX,75201-7801,2147540770,WWW.INTLRESEARCH.COM,Samuel Evans,Samuel.Evans@INTLRESEARCH.COM,105372
"AMERICAN TRUST INVESTMENT ADVISORS, LLC",ONE COURT STREET,SUITE 350,LEBANON,NH,03766-1358,6034486415,WWW.AMERTRUST.COM,Darren Graham,Darren.Graham@AMERTRUST.COM,114439
"HEROLD ADVISORS, INC.",805 3RD AVE 18TH FLOOR,,NEW YORK,NY,10022-7513,2123713950,WWW.HEROLDINC.COM,Larry Bowery,Larry.Bowery@HEROLDINC.COM,105090
WEIK CAPITAL MANAGEMENT,1075 BERKSHIRE BLVD,SUITE 825,WYOMISSING,PA,19610-1227,6103762240,WWW.WEIKINVEST.COM,Eric Griffin,Eric.Griffin@WEIKINVEST.COM,107068
FRUTH INVESTMENT MANAGEMENT,820 GESSNER,SUITE 1640,HOUSTON,TX,77024-4465,7134642283,WWW.RJFRUTH.COM,Eusebio Lopez,Eusebio.Lopez@RJFRUTH.COM,107273
"SNOW CAPITAL MANAGEMENT, L.P.",2000 GEORGETOWNE DRIVE,SUITE 200,SEWICKLEY,PA,15143-8992,7249345800,WWW.SNOWFUNDS.COM/,Ramon Guerrero,Ramon.Guerrero@SNOWFUNDS.COM/,106516
ATLANTA CAPITAL,1075 PEACHTREE STREET NE,SUITE 2100,ATLANTA,GA,30309-3912,4048769411,WWW.ATLCAP.COM,Gregorio Salazar,Gregorio.Salazar@ATLCAP.COM,116719
"PEAR TREE ADVISORS, INC.",55 OLD BEDFORD ROAD,SUITE 202,LINCOLN,MA,01773-1124,7812591144,WWW.PEARTREEFUNDS.COM,Bobbie Gipson,Bobbie.Gipson@PEARTREEFUNDS.COM,104576
SATURNA CAPITAL CORPORATION,1300 N STATE ST.,,BELLINGHAM,WA,98225-4730,3605949900,WWW.SATURNA.COM,Rosendo Rivera Jr,Rosendo.Rivera Jr@SATURNA.COM,25586
NORTH RIDGE SECURITIES CORP.,1895 WALT WHITMAN ROAD,,MELVILLE,NY,11747-3031,6314204242,WWW.NORTHRIDGESECURITIES.COM,Roman Mandujano,Roman.Mandujano@NORTHRIDGESECURITIES.COM,27098
WESTCHESTER CAPITAL MANAGEMENT INC,801 NORTH 96TH ST,,OMAHA,NE,68114-2538,4023922418,WWW.WESTCHESTERCAPITAL.COM,Sergio Rodriguez,Sergio.Rodriguez@WESTCHESTERCAPITAL.COM,110961
HSC WEALTH ADVISORS,1563 CROSSINGS CENTRE DRIVE,SUITE 100,FOREST,VA,24551-4744,4343169356,WWW.HSCWEALTHADVISORS.COM,Javier Moreno,Javier.Moreno@HSCWEALTHADVISORS.COM,105103
"GODSHALK WELSH CAPITAL MANAGEMENT, INC.",170 N. RADNOR CHESTER RD,SUITE 100,RADNOR,PA,19087-5221,6109710202,WWW.GODSHALKWELSH.COM,Alejandro Cruz,Alejandro.Cruz@GODSHALKWELSH.COM,106410
PRIVATE ASSET MANAGEMENT INC,5348 CARROLL CANYON ROAD,SUITE 200,SAN DIEGO,CA,92121-1733,8587504200,WWW.PAMGMT.COM,Davis Prado,Davis.Prado@PAMGMT.COM,106598
AMERICA FIRST INVESTMENT ADVISORS LLC,"10050 REGENCY CIRCLE, SUITE 515",,OMAHA,NE,68114-3721,4029913388,WWW.AM1ST.COM,Luciano Delao,Luciano.Delao@AM1ST.COM,106984
BEESE FULMER PRIVATE WEALTH MANAGEMENT,"220 MARKET AVENUE, SOUTH",SUITE 1150,CANTON,OH,44702-2177,3304546555,WWW.BEESEFULMER.COM,Mike Gonzales,Mike.Gonzales@BEESEFULMER.COM,109882
"AZZAD ASSET MANAGEMENT, INC.",3141 FAIRVIEW PARK DRIVE,SUITE 355,FALLS CHURCH,VA,22042-4533,7032077005,WWW.AZZADFUNDS.COM,Raul Barajas,Raul.Barajas@AZZADFUNDS.COM,111291
"CORNERSTONE WEALTH ADVISORS, LLC",6420 WEST 95TH STREET,STE 202,OVERLAND PARK,KS,66212-1434,9133810280,WWW.CORNERSTONE360.COM,Raymond Aguilar,Raymond.Aguilar@CORNERSTONE360.COM,124276
"YIM INVESTMENT MANAGEMENT, LLC",1950 YOUNG STREET SUITE 288,,HONOLULU,HI,96826-2150,8089558800,WWW.YIMLLC.COM,Jose Gaytan,Jose.Gaytan@YIMLLC.COM,136984
TAYLOR FRIGON CAPITAL MANAGEMENT LLC,656 SANTA ROSA STREET,SUITE 3B,SAN LUIS OBSIPO,CA,93401-2802,8052260280,WWW.TAYLORFRIGON.COM,Julio Alvarado,Julio.Alvarado@TAYLORFRIGON.COM,142617
"SOUTH SHORE CAPITAL ADVISORS, LLC",115 RIPLEY ROAD,UNIT 1,COHASSET,MA,02025-1715,7817409310,WWW.SSCAINVEST.COM,Theodore Torres,Theodore.Torres@SSCAINVEST.COM,142915
"CAPWEALTH ADVISORS, LLC",3000 MERIDIAN BLVD,SUITE 250,FRANKLIN,TN,37067-6251,6157780740,CAPWEALTHADVISORS.COM,Juan Gavidia,Juan.Gavidia@CAPWEALTHADVISORS.COM,148781
RESTON WEALTH MANAGEMENT,1984 ISAAC NEWTON SQUARE WEST,SUITE 107,RESTON,VA,20190-5039,7034812280,WWW.RESTONWEALTH.COM,Alfonso Saucedo,Alfonso.Saucedo@RESTONWEALTH.COM,148816
